59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,53,67,67,67,67,67,54,59,59,59,59
59,59,59,59,59,59,59,59,59,53,67,67,54,53,54,59,59,59,59,53,67,68,8,9,11,11,12,66,54,59,59,59
59,59,59,59,59,59,53,67,67,68,13,15,66,68,66,67,54,59,59,60,8,9,34,27,17,17,33,12,66,54,59,59
59,59,59,59,53,67,68,13,14,14,46,45,14,14,15,0,58,59,53,68,16,17,17,17,17,17,17,33,12,58,59,59
59,59,59,59,61,52,13,46,22,39,39,22,39,39,23,50,62,59,60,8,34,17,17,19,17,17,17,17,28,58,59,59
59,59,59,59,59,60,21,22,22,39,22,47,47,39,23,58,59,59,60,16,17,17,17,17,17,17,17,19,36,58,59,59
59,59,59,59,53,68,21,22,39,39,39,22,39,22,23,66,54,59,60,40,26,35,19,17,17,17,17,25,44,58,59,59
59,59,59,53,68,13,46,39,47,22,22,39,22,22,45,15,58,59,61,52,24,17,18,17,17,17,25,44,50,62,59,59
59,59,59,60,0,29,38,39,39,39,39,39,39,22,37,31,66,54,59,60,24,18,17,17,27,25,44,50,62,59,59,59
59,59,59,61,52,0,21,22,39,39,39,39,22,22,23,50,51,62,59,60,40,26,17,25,41,44,50,62,59,59,59,59
59,59,59,59,61,52,21,39,39,39,39,39,22,37,31,58,59,53,67,68,0,40,26,36,50,51,62,59,59,59,59,59
59,59,59,59,59,60,29,30,38,39,39,39,22,45,15,66,67,68,0,13,15,0,40,44,58,59,59,59,59,59,59,59
59,59,59,59,59,61,52,7,29,38,22,22,22,39,23,0,0,0,13,46,23,0,50,51,62,59,59,59,59,59,59,59
59,59,59,59,59,59,60,0,13,46,22,47,39,47,45,14,14,15,21,39,23,0,66,67,67,67,54,59,59,59,59,59
59,59,59,53,67,67,68,0,21,39,22,37,38,39,39,39,39,45,46,22,45,15,0,0,0,50,62,59,59,59,59,59
59,59,59,60,0,3,0,13,46,37,30,31,29,38,39,37,30,30,30,30,30,31,0,0,50,62,59,59,59,59,59,59
59,59,53,68,1,2,0,29,30,31,0,0,4,29,38,23,0,50,51,51,51,51,51,51,62,59,59,59,59,59,59,59
59,59,60,0,0,0,0,0,3,5,0,0,0,2,29,31,0,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,53,68,0,49,0,0,0,0,0,50,52,0,0,0,0,0,66,67,54,59,59,59,59,59,59,59,59,59,59,59,59
59,60,0,0,57,0,4,6,50,51,62,61,52,0,3,0,0,0,0,58,59,53,67,67,67,67,54,59,59,59,59,59
59,60,0,0,0,0,0,50,62,59,59,59,61,52,4,0,0,0,0,58,59,60,0,0,0,0,66,54,59,59,59,59
53,68,0,0,0,3,0,58,59,59,59,59,59,60,0,0,0,0,50,62,59,60,0,48,0,0,0,66,54,59,59,59
60,4,0,0,0,0,0,58,59,59,59,59,59,60,0,0,0,0,58,53,67,68,0,56,0,3,1,0,58,59,59,59
60,0,2,0,0,0,0,58,59,53,54,59,59,60,0,0,0,3,66,68,1,1,0,1,0,1,0,1,58,59,59,59
61,52,50,52,0,2,0,66,67,68,58,59,53,68,3,0,5,0,0,0,3,0,2,0,0,0,0,0,58,59,59,59
59,61,62,60,0,0,0,0,0,0,58,59,60,0,0,0,3,0,0,0,0,0,3,1,5,0,0,50,62,59,59,59
59,59,53,68,0,0,0,6,0,0,66,67,68,0,0,0,0,0,0,0,0,0,0,1,0,1,1,58,59,59,59,59
59,59,61,52,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,4,0,50,62,59,59,59,59
59,59,59,61,52,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,4,50,62,59,59,59,59,59
59,59,59,59,61,52,0,0,1,4,64,65,0,1,50,51,51,52,4,1,0,0,0,50,51,62,59,59,59,59,59,59
59,59,59,59,59,60,0,0,4,0,1,0,0,0,58,59,59,60,0,0,0,50,51,62,59,59,59,59,59,59,59,59
59,59,59,59,59,61,51,52,0,50,51,51,51,52,58,59,59,61,52,0,50,62,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,60,50,62,59,59,59,61,62,59,59,59,61,51,62,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,61,62,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
